customer_id,question,day,create_dt
CUSTOMER000000023196,,2,2024-02-01 13:40:27.491
CUSTOMER000000023196,,2,2024-02-01 13:40:44.006
CUSTOMER000000023196,,2,2024-02-01 13:40:48.218
CUSTOMER000000023196,,2,2024-02-01 13:40:51.148
CUSTOMER000000024282,,1,2024-02-01 15:14:14.775
CUSTOMER000000024285,,4,2024-02-01 18:39:27.775
CUSTOMER000000024291,아이와 같이 4인가족,4,2024-02-01 21:14:24.276
CUSTOMER000000024296,친구,3,2024-02-02 00:38:58.359
CUSTOMER000000024297,부모님,3,2024-02-02 01:08:54.669
CUSTOMER000000024298,가족과 함께,4,2024-02-02 01:19:04.936
CUSTOMER000000024303,부모님과 여행,3,2024-02-02 11:51:48.686
CUSTOMER000000024303,부모님과의 동쪽여행,3,2024-02-02 11:53:33.435
CUSTOMER000000024304,,4,2024-02-02 13:06:02.34
CUSTOMER000000024303,비올때 가볼만한곳,3,2024-02-02 13:10:19.948
CUSTOMER000000024308,,3,2024-02-02 16:32:19.372
CUSTOMER000000024291,초등,4,2024-02-02 17:48:06.823
CUSTOMER000000024310,조용히 쉴 수 있는,3,2024-02-02 18:51:25.534
CUSTOMER000000024313,,6,2024-02-02 19:38:47.752
CUSTOMER000000024314,힐링,3,2024-02-02 21:12:24.222
CUSTOMER000000024314,힐링,3,2024-02-02 21:12:44.01
CUSTOMER000000024314,힐링,3,2024-02-02 21:13:24.998
CUSTOMER000000024315,친구와함께하는,6,2024-02-02 21:22:06.983
CUSTOMER000000024316,여자친구와,5,2024-02-02 21:37:28.748
CUSTOMER000000024117,강아지,1,2024-02-03 01:34:26.601
CUSTOMER000000024117,혼자,1,2024-02-03 01:35:53.356
CUSTOMER000000024318,강아지와 함께 ,7,2024-02-03 02:00:08.463
CUSTOMER000000024320,,1,2024-02-03 08:03:39.542
CUSTOMER000000024323,가족과 함께,3,2024-02-03 12:29:06.839
CUSTOMER000000024323,부모님과 함께,2,2024-02-03 12:33:56.346
CUSTOMER000000024303,구좌읍 아이와 여행,3,2024-02-03 14:37:52.733
CUSTOMER000000024326,,3,2024-02-03 15:07:23.057
CUSTOMER000000024329,,4,2024-02-03 20:20:52.33
CUSTOMER000000024316,커플 여행,5,2024-02-03 21:24:35.371
CUSTOMER000000024330,,2,2024-02-03 23:14:27.54
CUSTOMER000000024332,할머니와 함께 할 수 있는,3,2024-02-03 23:54:50.059
CUSTOMER000000024334,가족과,3,2024-02-04 00:00:51.188
CUSTOMER000000024339,뚜벅이,6,2024-02-04 09:13:23.916
CUSTOMER000000013008,,4,2024-02-04 09:41:13.878
CUSTOMER000000019980,아이,6,2024-02-04 14:55:48.714
CUSTOMER000000024349,아이랑 ,4,2024-02-04 15:46:36.853
CUSTOMER000000024350,,7,2024-02-04 16:02:17.099
CUSTOMER000000024352,,4,2024-02-04 16:09:18.844
CUSTOMER000000024352,,1,2024-02-04 16:10:21.882
CUSTOMER000000024352,,4,2024-02-04 16:10:40.024
CUSTOMER000000024354,친구랑,3,2024-02-04 16:52:16.849
CUSTOMER000000024357,가족과 함께 ,3,2024-02-04 18:30:54.22
CUSTOMER000000024361,아이,3,2024-02-04 19:39:18.203
CUSTOMER000000024362,,3,2024-02-04 20:18:40.158
CUSTOMER000000024367,두돌 아기랑,4,2024-02-04 23:22:33.027
