course_id,plan_seq_no,plan_date,schedule_seq_no,gubun,place_id,post_id,spot_id,state,sort_order,city_cd
COURSE00000000000178,1,2020-11-10,2,PLACE,PLACE000000000000767,,NULL,S,2,JJ
COURSE00000000000178,1,2020-11-10,1,PLACE,PLACE000000000000628,,NULL,S,1,JJ
COURSE00000000000177,2,2020-10-28,2,PLACE,PLACE000000000000733,,NULL,S,2,JJ
COURSE00000000000177,2,2020-10-28,1,POST,PLACE000000000000120,POST0000000000000040,NULL,S,1,JJ
COURSE00000000000177,1,2020-10-27,2,PLACE,PLACE000000000000349,,NULL,S,2,JJ
COURSE00000000000177,1,2020-10-27,1,POST,PLACE000000000000621,POST0000000000000041,NULL,S,1,JJ
COURSE00000000000176,1,2020-11-04,2,PLACE,PLACE000000000000014,,NULL,S,2,JJ
COURSE00000000000176,1,2020-11-04,1,POST,PLACE000000000000732,POST0000000000000112,NULL,S,1,JJ
COURSE00000000000175,2,2020-11-05,1,PLACE,PLACE000000000000594,,NULL,S,1,JJ
COURSE00000000000175,1,2020-11-04,1,POST,PLACE000000000000593,POST0000000000000044,NULL,S,1,JJ
COURSE00000000000174,1,2020-11-11,1,POST,PLACE000000000000094,POST0000000000000005,NULL,S,1,JJ
COURSE00000000000173,1,2020-10-28,2,POST,PLACE000000000000593,POST0000000000000044,NULL,S,2,JJ
COURSE00000000000173,1,2020-10-28,1,PLACE,PLACE000000000000594,,NULL,S,1,JJ
COURSE00000000000172,1,2020-10-27,2,POST,PLACE000000000000736,POST0000000000000015,NULL,S,2,JJ
COURSE00000000000172,1,2020-10-27,1,POST,PLACE000000000000598,POST0000000000000102,NULL,S,1,JJ
COURSE00000000000171,2,2020-10-29,1,POST,PLACE000000000000529,POST0000000000000127,NULL,S,1,JJ
COURSE00000000000171,1,2020-10-28,1,POST,PLACE000000000000529,POST0000000000000127,NULL,S,1,JJ
COURSE00000000000170,2,2020-11-12,1,PLACE,PLACE000000000000532,,NULL,S,1,JJ
COURSE00000000000170,1,2020-11-11,1,PLACE,PLACE000000000000532,,NULL,S,1,JJ
COURSE00000000000169,1,2020-10-28,2,POST,PLACE000000000000449,POST0000000000000068,NULL,S,2,JJ
COURSE00000000000169,1,2020-10-28,1,POST,PLACE000000000000612,POST0000000000000096,NULL,S,1,JJ
COURSE00000000000168,1,2020-10-28,2,PLACE,PLACE000000000000448,,NULL,S,2,JJ
COURSE00000000000168,1,2020-10-28,1,PLACE,PLACE000000000000741,,NULL,S,1,JJ
COURSE00000000000167,2,2020-10-29,1,POST,PLACE000000000000765,POST0000000000000129,NULL,S,1,JJ
COURSE00000000000167,1,2020-10-28,2,PLACE,PLACE000000000000434,,NULL,S,2,JJ
COURSE00000000000167,1,2020-10-28,1,PLACE,PLACE000000000000741,,NULL,S,1,JJ
COURSE00000000000166,2,2020-11-05,1,PLACE,PLACE000000000000595,,NULL,S,1,JJ
COURSE00000000000166,1,2020-11-04,1,PLACE,PLACE000000000000595,,NULL,S,1,JJ
COURSE00000000000165,2,2020-10-23,2,PLACE,PLACE000000000000435,,NULL,S,2,JJ
COURSE00000000000165,2,2020-10-23,1,PLACE,PLACE000000000000094,,NULL,S,1,JJ
COURSE00000000000165,1,2020-10-22,1,PLACE,PLACE000000000000591,,NULL,S,1,JJ
COURSE00000000000164,2,2020-10-23,1,PLACE,PLACE000000000000823,,NULL,S,1,JJ
COURSE00000000000164,1,2020-10-22,3,PLACE,PLACE000000000000821,,NULL,S,3,JJ
COURSE00000000000164,1,2020-10-22,2,PLACE,PLACE000000000000822,,NULL,S,2,JJ
COURSE00000000000164,1,2020-10-22,1,PLACE,PLACE000000000000820,,NULL,S,1,JJ
COURSE00000000000163,2,2020-10-23,2,PLACE,PLACE000000000000825,,NULL,S,2,JJ
COURSE00000000000163,2,2020-10-23,1,PLACE,PLACE000000000000824,,NULL,S,1,JJ
COURSE00000000000163,1,2020-10-22,1,PLACE,PLACE000000000000826,,NULL,S,1,JJ
COURSE00000000000162,1,2020-10-22,4,PLACE,PLACE000000000000788,,NULL,S,4,JJ
COURSE00000000000162,1,2020-10-22,3,PLACE,PLACE000000000000719,,NULL,S,3,JJ
COURSE00000000000162,1,2020-10-22,2,PLACE,PLACE000000000000766,,NULL,S,2,JJ
COURSE00000000000162,1,2020-10-22,1,PLACE,PLACE000000000000634,,NULL,S,1,JJ
COURSE00000000000161,2,2020-10-23,3,PLACE,PLACE000000000000719,,NULL,S,3,JJ
COURSE00000000000161,2,2020-10-23,2,PLACE,PLACE000000000000827,,NULL,S,2,JJ
COURSE00000000000161,2,2020-10-23,1,PLACE,PLACE000000000000797,,NULL,S,1,JJ
COURSE00000000000161,1,2020-10-22,1,PLACE,PLACE000000000000766,,NULL,S,1,JJ
COURSE00000000000160,1,2020-10-22,5,PLACE,PLACE000000000000828,,NULL,S,5,JJ
COURSE00000000000160,1,2020-10-22,4,PLACE,PLACE000000000000581,,NULL,S,4,JJ
COURSE00000000000160,1,2020-10-22,3,PLACE,PLACE000000000000718,,NULL,S,3,JJ
COURSE00000000000160,1,2020-10-22,2,PLACE,PLACE000000000000610,,NULL,S,2,JJ
COURSE00000000000160,1,2020-10-22,1,PLACE,PLACE000000000000553,,NULL,S,1,JJ
COURSE00000000000159,2,2020-10-23,2,PLACE,PLACE000000000000435,,NULL,S,2,JJ
COURSE00000000000159,2,2020-10-23,1,PLACE,PLACE000000000000765,,NULL,S,1,JJ
COURSE00000000000159,1,2020-10-22,2,PLACE,PLACE000000000000759,,NULL,S,2,JJ
COURSE00000000000159,1,2020-10-22,1,PLACE,PLACE000000000000734,,NULL,S,1,JJ
COURSE00000000000158,2,2020-10-23,2,PLACE,PLACE000000000000625,,NULL,S,2,JJ
COURSE00000000000158,2,2020-10-23,1,PLACE,PLACE000000000000818,,NULL,S,1,JJ
COURSE00000000000158,1,2020-10-22,2,PLACE,PLACE000000000000514,,NULL,S,2,JJ
COURSE00000000000158,1,2020-10-22,1,PLACE,PLACE000000000000516,,NULL,S,1,JJ
COURSE00000000000157,2,2020-10-24,1,PLACE,PLACE000000000000831,,NULL,S,1,JJ
COURSE00000000000157,1,2020-10-23,3,PLACE,PLACE000000000000830,,NULL,S,3,JJ
COURSE00000000000157,1,2020-10-23,2,PLACE,PLACE000000000000829,,NULL,S,2,JJ
COURSE00000000000157,1,2020-10-23,1,PLACE,PLACE000000000000119,,NULL,S,1,JJ
COURSE00000000000154,4,2020-10-29,4,PLACE,PLACE000000000000400,,NULL,S,4,JJ
COURSE00000000000154,4,2020-10-29,3,PLACE,PLACE000000000000767,,NULL,S,3,JJ
COURSE00000000000154,4,2020-10-29,2,PLACE,PLACE000000000000032,,NULL,S,2,JJ
COURSE00000000000154,4,2020-10-29,1,POST,PLACE000000000000017,POST0000000000000036,NULL,S,1,JJ
COURSE00000000000154,3,2020-10-28,2,PLACE,PLACE000000000000384,,NULL,S,2,JJ
COURSE00000000000154,3,2020-10-28,1,POST,PLACE000000000000611,POST0000000000000017,NULL,S,1,JJ
COURSE00000000000154,2,2020-10-27,3,PLACE,PLACE000000000000589,,NULL,S,3,JJ
COURSE00000000000154,2,2020-10-27,2,PLACE,PLACE000000000000744,,NULL,S,2,JJ
COURSE00000000000154,2,2020-10-27,1,POST,PLACE000000000000374,POST0000000000000014,NULL,S,1,JJ
COURSE00000000000154,1,2020-10-26,4,PLACE,PLACE000000000000419,,NULL,S,4,JJ
COURSE00000000000154,1,2020-10-26,3,PLACE,PLACE000000000000781,,NULL,S,3,JJ
COURSE00000000000154,1,2020-10-26,2,PLACE,PLACE000000000000401,,NULL,S,2,JJ
COURSE00000000000153,4,2020-11-13,2,PLACE,PLACE000000000000094,,NULL,S,2,JJ
